"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","location_name","lon","lat"
"18","",1,332,0,10,NA,"USINT Havana",2014-03-24 20:01:45,FALSE,FALSE,"USINTHavana","","en","2409485682",4,FALSE,"http://pbs.twimg.com/profile_images/448199696637370368/wOM_spxL_normal.jpeg","USINTHavana",NA,NA
"19","Embassy of the United States of America",10393,7267,18,128,"http://t.co/4mhZME3QPI","U.S. Embassy Cyprus",2009-01-07 07:49:02,FALSE,TRUE,"USEmbassyCyprus","Nicosia, Cyprus","en","18714842",244,FALSE,"http://pbs.twimg.com/profile_images/306697994/dos_normal.jpg","U.S. Embassy Cyprus",-77.0493729,38.9128044
"20","Velvyslanectví USA v Praze. Najdete nás také na Facebooku a Instagramu @USEmbassyPrague. Seznamte se s podmínkami použití tohoto účtu http://t.co/H4KAg5iEYw.",5677,8549,982,559,"http://t.co/exloEEsyfs","U.S. Embassy Prague",2009-10-14 08:03:13,FALSE,TRUE,"USEmbassyPrague","Tržiště 15, Prague 1, 118 01","en","82306946",313,FALSE,"http://pbs.twimg.com/profile_images/536792839191941120/O30Rfj1O_normal.jpeg","U.S. Embassy Prague",-6.5977004,53.2467913
"21","The U.S. Embassy in Denmark - maintaining good relations since 1827! Terms of use: http://t.co/I04utnBAAJ",3058,6770,876,320,"http://t.co/nPgqCNY5hL","U.S. Embassy Denmark",2009-02-02 15:56:00,FALSE,TRUE,"usembdenmark","Copenhagen, Denmark","en","19912974",225,FALSE,"http://pbs.twimg.com/profile_images/565881544842043393/etXcWf0z_normal.png","U.S. Embassy Denmark",-80.1413839,26.1234071
"22","Embajada de los Estados Unidos en Santo Domingo, R.D.",9221,68711,28,763,"http://t.co/1FTTiUqzoc","EmbajadaUSAenRD",2009-04-27 12:17:53,FALSE,TRUE,"EmbajadaUSAenRD","Santo Domingo, Dom. Rep.","en","35727265",233,FALSE,"http://pbs.twimg.com/profile_images/1669477045/Logo_normal.png","Santo Domingo, Dom. Rep.",-69.761948,18.503889
"23","Bienvenidos al sitio de la Embajada de los Estados Unidos en Quito, Ecuador. Welcome!",3975,7463,8,138,"http://t.co/7f0cIuD4Ga","US Embassy Quito",2009-09-10 05:32:23,FALSE,FALSE,"usembassy_quito","Ecuador","en","73050516",260,FALSE,"http://pbs.twimg.com/profile_images/2370826100/ap7db7ei13c6fb5f083d_normal.png","US Embassy Quito",-78.4678382,-0.1806532
"24","Also visit us on Facebook at https://t.co/Z9GvNSpv7Q
RTs not endorsements",7330,89038,14,106,"http://t.co/H3a5pAvFfW","US Embassy Cairo",2009-09-24 14:01:56,FALSE,TRUE,"USEmbassyCairo","Cairo","en","76945884",1175,FALSE,"http://pbs.twimg.com/profile_images/2504846704/fffrw1j8k59cfcyk9019_normal.png","US Embassy Cairo",-82.7068779,28.2871437
"25","Welcome to the official twitter account of the  U.S. Embassy in Tallinn, Estonia. Don't hesitate to contact us with questions, suggestions or comments.",5339,3806,292,191,"http://t.co/sVSm99h6Zy","USEmbassyTallinn",2009-01-07 12:15:43,FALSE,TRUE,"USEmbTallinn","Tallinn, Estonia","en","18719228",162,FALSE,"http://pbs.twimg.com/profile_images/510349434203299841/uMb3Sqmm_normal.png","U.S. Embassy Tallinn",24.7357,59.4283
"26","This is the official Twitter profile of the U.S. Embassy in Helsinki, Finland. Don't hesitate to contact us with questions, suggestions or comments.",4473,5645,42,374,"http://t.co/qCT0V5z5fB","U.S. Embassy Finland",2010-09-10 07:57:47,FALSE,FALSE,"usembfinland","Helsinki, Finland","en","189056999",190,FALSE,"http://pbs.twimg.com/profile_images/1268699476/seal_normal.jpg","U.S. Embassy Finland",-77.0651234,38.9244701
"27","Compte officiel de l'Ambassade des Etats-Unis en France, Paris http://t.co/iXbZ7MI3hb",14119,21928,22,1996,"http://t.co/RtB1VPjASM","U.S. Embassy France",2009-09-09 09:50:21,FALSE,TRUE,"USEmbassyFrance","Paris, France","en","72814599",551,FALSE,"http://pbs.twimg.com/profile_images/558197727830368256/sp2q8413_normal.jpeg","U.S. Embassy France",-77.0785201,38.91416
"28","Embassy of the United States of America, Libreville",396,2262,0,33,"http://t.co/tmvLcRIQ7o","USEmbassy Libreville",2009-11-16 15:06:09,FALSE,FALSE,"usembassygabon","Libreville, Gabon","en","90410353",119,FALSE,"http://pbs.twimg.com/profile_images/536893079140052993/Mn-QPN5B_normal.jpeg","U.S. Embassy  Libreville",9.4465846,0.3839071
"29","Official Twitter Account of the U.S. Embassy in Tbilisi, Georgia",1996,4806,4,105,"http://t.co/QVPB84TulR","U.S. Embassy Tbilisi",2011-02-11 16:50:13,FALSE,TRUE,"EmbassyTbilisi","Tbilisi","en","250705901",106,FALSE,"http://pbs.twimg.com/profile_images/3684809192/9f16574c933a177609e1a86cad7132b4_normal.jpeg","U.S. Embassy Tbilisi",44.7588694,41.7126206
"30","Diplomatische Vertretungen der Vereinigten Staaten von Amerika in Deutschland / JBE = US-Botschafter Emerson",9888,8300,1114,349,"http://t.co/yNcxNeubtY","US-Botschaft Berlin",2009-06-26 07:36:48,FALSE,TRUE,"usbotschaft","Berlin","en","50965086",351,FALSE,"http://pbs.twimg.com/profile_images/3577086382/20e64b6d7d26f08551f86fcbbf2bf50a_normal.jpeg","Berlin",13.404954,52.5200066
"31","",0,53,0,0,NA,"Accra",2012-09-28 11:29:01,FALSE,FALSE,"USEmbassyAccra","","en","850905278",5,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png","U.S. Embassy Accra",-0.1701838,5.5795683
"32","This is the official U.S. Embassy, Athens Twitter account.",5072,6294,390,1923,"http://t.co/vFfAU4Ylzd","U.S. Embassy Athens",2009-04-07 05:56:59,FALSE,TRUE,"USEmbassyAthens","Athens, Greece","en","29395463",231,FALSE,"http://pbs.twimg.com/profile_images/487595978111721473/bxTZ8fAU_normal.jpeg","U.S. Embassy Athens",23.7682171,37.9954688
"33","Embajada de EE.UU. en Guatemala. U.S. Embassy in Guatemala. Visitanos en Facebook http://t.co/8fwdhsGM Flickr http://t.co/a9EvKeJq Youtube http://t.co/mc64YgAi",14126,41436,63,194,"http://t.co/ryasYgFpKA","US Embassy Guatemala",2009-03-10 21:49:56,FALSE,TRUE,"usembassyguate","Avenida Reforma 7-01, Zona 10","en","23664866",452,FALSE,"http://pbs.twimg.com/profile_images/472031812974149632/nRQZhQRP_normal.jpeg","US Embassy Guatemala",-77.0272267,38.9914671
"34","Welcome to the twitter feed of the American Embassy in Guinea

Bienvenue a l'ambassade des Etats-Unis en Guinee en Twitter",1647,3752,8,1280,"http://t.co/cRPVvbcFli","US Embassy Conakry",2010-05-19 14:08:13,FALSE,FALSE,"EmbassyConakry","Conakry, Guinea","en","145653919",150,FALSE,"http://pbs.twimg.com/profile_images/1407836904/LogoSlogan_normal.jpg","US Embassy Conakry",-13.6366333,9.5950296
"35","Consular Section, U.S. Embassy, Georgetown, Guyana",642,1712,1,100,"http://t.co/UCAEomTDaB","USEmbassyGeorgetown",2010-05-04 18:56:23,FALSE,TRUE,"visageorge","Georgetown, Guyana","en","140154156",88,FALSE,"http://pbs.twimg.com/profile_images/873277391/Facebook_Profile_normal.jpg","U.S. Embassy Georgetown",-77.0624775,38.9048338
"36","Official Twitter of the Embassy of the United States of America, Port-au-Prince, Haiti. RT ≠ endorsement.",11501,55295,404,524,"http://t.co/vlyDjSRkhL","US Embassy Haiti",2010-04-15 16:44:48,FALSE,TRUE,"USEmbassyHaiti","Port-au-Prince, Haiti","en","133379712",530,FALSE,"http://pbs.twimg.com/profile_images/481472776524414976/PDTz2RCw_normal.jpeg","US Embassy Haiti",-77.051327,38.913134
"37","Bienvenidos a la cuenta oficial de la Embajada de Estados Unidos en Tegucigalpa. ¡Enterate de nuestras actividades aquí!",5384,5979,41,318,"http://t.co/uxa3XIFumR","U.S. Embassy Teg",2010-08-17 16:10:31,FALSE,TRUE,"usembassyteg","Honduras","es","179563308",95,FALSE,"http://pbs.twimg.com/profile_images/634124117730553856/KP168h6s_normal.png","U.S. Embassy Teg",72.8798314,19.0290023
"38","Az Amerikai Nagykövetség hivatalos oldala | Official page of the U.S. Embassy Budapest.",7129,15712,261,640,"http://t.co/ZqJoCaCBHH","US Embassy Budapest",2009-09-14 16:00:15,FALSE,TRUE,"usembbudapest","Budapest, Hungary","en","74189049",294,FALSE,"http://pbs.twimg.com/profile_images/2668775778/459a710a6beee65a7af4dab4212b04d6_normal.jpeg","US Embassy Budapest",19.040235,47.497912
"39","The relationship between the U.S. & India - bound by our shared interests - will be one of the defining partnerships of the 21st century. - President Obama",12100,23416,46,1004,"http://t.co/sCIezdFl4e","U.S. Embassy India",2009-05-21 05:09:38,FALSE,TRUE,"USAndIndia","New Delhi, India","en","41533816",361,FALSE,"http://pbs.twimg.com/profile_images/624159508307185664/CyuUQx2F_normal.jpg","U.S. Embassy India",-77.0470071,38.9113003
"40","Follow us! The official Twitter account of U.S. Embassy in Jakarta. Tweets from Ambassador Robert Blake are signed #DuBesBlake.",27051,241037,47,324,"http://t.co/6U2ek8j33b","U.S. Embassy Jakarta",2009-06-15 06:50:16,FALSE,TRUE,"usembassyjkt","Jakarta, Indonesia","en","47279525",965,FALSE,"http://pbs.twimg.com/profile_images/635697438125232128/cX6QXygq_normal.png","U.S. Embassy Jakarta",106.8210524,-6.2099241
"41","This is the official Twitter account of the Embassy of the United States of America in Dublin, Ireland",4683,11198,852,940,"http://t.co/QH0urXoipT","U.S. Embassy Dublin",2009-11-10 15:56:43,FALSE,TRUE,"USEmbassyDublin","42 Elgin Road, Dublin 4","en","88956373",327,FALSE,"http://pbs.twimg.com/profile_images/618435356627726336/sMWo5R55_normal.jpg","U.S. Embassy Dublin",-6.2335637,53.3302563
"42","US Embassy Tel Aviv",12674,26246,59,471,"http://t.co/w2oIf9Jn3Q","USEmbassyTelAviv",2009-06-03 06:40:02,FALSE,TRUE,"usembassyta","RTs not endorsements","en","44309594",783,FALSE,"http://pbs.twimg.com/profile_images/1273374601/usa_embassy_profile_logo3_normal.JPG","U.S. Embassy TelAviv",34.7704751,32.0646777
"43","Embassy of the United States of America to Italy",9181,20946,82,1218,"http://t.co/fl3kBwvFdT","Ambasciata U.S.A.",2009-04-30 08:39:07,FALSE,TRUE,"AmbasciataUSA","Italy","it","36624443",449,FALSE,"http://pbs.twimg.com/profile_images/628219552439103488/0Zpc9TLv_normal.jpg","Italy",12.56738,41.87194
"44","Official Twitter account for the U.S. Embassy in Tokyo, Japan. RTs & favorites not endorsement. 在日米国大使館公式ツイッター 。リツイートやお気に入りはその内容を保証・支持するとは限りません。",3269,12672,285,129,"http://t.co/DAg4GX0SCd","在日米国大使館",2009-11-29 20:17:45,FALSE,TRUE,"usembassytokyo","東京都港区赤坂1-10-5","en","93471126",646,FALSE,"http://pbs.twimg.com/profile_images/601661730305904640/B3W78NPS_normal.jpg","U.S. Embassy tokyo",139.699755,35.648369
"45","The Embassy of the United States of America to the Hashemite Kingdom of Jordan",2507,12343,15,125,"http://t.co/6SiXDXJcYP","U.S. Embassy Jordan",2009-07-30 09:23:14,FALSE,TRUE,"USEmbassyJordan","Jordan","en","61442211",350,FALSE,"http://pbs.twimg.com/profile_images/1552903825/fb_logo_normal.jpg","U.S. Embassy Jordan",-77.0664183,38.9412544
"46","Follow Tweets of the United States Diplomatic Mission to Kazakhstan (RT ≠ endorsement)  https://t.co/I5oBuRGs8n",8036,4185,2183,402,"http://t.co/DCVEviLTq4","U.S. Embassy Astana",2010-11-17 08:17:23,FALSE,TRUE,"USembassyAstana","Kazakhstan","en","216625028",156,FALSE,"http://pbs.twimg.com/profile_images/3606400386/5e11630e8d690ca58e9403fe1e6b5ed7_normal.jpeg","U.S. Embassy Astana",71.4679903,51.1294202
"47","We engage Kenyans through information on U.S. Embassy programs in Kenya, discussions with the Ambassador, and updates on U.S. government activities in Africa.",10631,104452,201,772,"http://t.co/GHF9I7RiZ2","IG:@USEmbassyNairobi",2009-09-01 09:03:29,FALSE,TRUE,"USEmbassyKenya","Nairobi, Kenya","en","70636581",470,FALSE,"http://pbs.twimg.com/profile_images/555646108693561346/Z55cgxIY_normal.jpeg","IG:@U.S. Embassy Nairobi",36.8219462,-1.2920659
"48","Welcome to the official Twitter account of the U.S. Embassy Seoul!  Follow @usembassyseoul for the latest news on U.S. - Korea relationships.",8766,18244,71,330,"http://t.co/I1kVo6w1","U.S. Embassy Seoul",2009-07-30 07:51:56,FALSE,TRUE,"usembassyseoul","Seoul, Korea","en","61426538",689,FALSE,"http://pbs.twimg.com/profile_images/2616060416/80140016fy444rh2pyr7_normal.png","U.S. Embassy Seoul",126.9751365,37.5668958
"49","Official Twitter Feed for the Embassy of the United States of America to the Kyrgyz Republic
http://t.co/H33OpW0Nor",7186,22989,431,743,"http://t.co/m8rcBLTD9p","U.S. Embassy Bishkek",2010-04-09 02:18:44,FALSE,TRUE,"USEmbassyKG","Bishkek, Kyrgyz Republic","en","131031879",212,FALSE,"http://pbs.twimg.com/profile_images/588907110609596416/Ado4mMgj_normal.png","U.S. Embassy Bishkek",74.5823193,42.8270878
"50","Twitter page of the Embassy of the United States of America, Kuwait",8891,12221,94,174,"https://t.co/WjoF092PG2","U.S. Embassy Kuwait",2010-10-27 10:17:23,FALSE,TRUE,"USEmbassyQ8","Visit our Facebook Page","en","208469691",209,FALSE,"http://pbs.twimg.com/profile_images/558223659509096449/IlJnXO8j_normal.jpeg","U.S. Embassy Kuwait",-77.0592181,38.9406419
"51","Embassy of the United States of America, Riga, Latvia",12458,7251,616,515,"http://t.co/mDswvUlswp","US Embassy Riga",2009-09-28 07:19:12,FALSE,TRUE,"USEmbassyRiga","Samnera Velsa 1","en","77951180",267,FALSE,"http://pbs.twimg.com/profile_images/460739083820474368/KksWNaRT_normal.jpeg","US Embassy Riga",24.0292391,56.9304972
"52","Embassy of the United States of America, Monrovia",725,1513,23,83,"http://t.co/AVQZng8HlE","US Embassy Monrovia",2011-04-28 08:41:24,FALSE,FALSE,"embassymonrovia","Monrovia, Liberia","en","289241101",106,FALSE,"http://pbs.twimg.com/profile_images/1339712669/Seal_-_US_Embassy-Monrovia_normal.JPG","US Embassy Monrovia",-10.8134043,6.316463
"53","Welcome to the official Twitter feed of the U.S. Embassy in Libya

مرحباً بكم في صفحة سفارة الولايات المتحدة بطرابلس على موقع التويتر",1077,80990,8,139,"http://t.co/wSchDyo2AG","U.S. Embassy - Libya",2012-05-22 08:24:24,FALSE,TRUE,"USAEmbassyLibya","Tripoli, Libya","en","587257369",265,FALSE,"http://pbs.twimg.com/profile_images/378800000111200378/67999725371e18a29c8ad79bb80816bd_normal.jpeg","U.S. Embassy - Libya",-77.055513,38.899619
"54","Les dernières nouvelles de l'Ambassade Américaine à Madagascar - The latest news from the American Embassy in Madagascar",8405,34127,25,888,"http://t.co/wy4Z44UnLU","USEmbassy-Madagascar",2010-11-19 12:46:31,FALSE,TRUE,"USMadagascar","Antananarivo, Madagascar","en","217403591",204,FALSE,"http://pbs.twimg.com/profile_images/431014004551458817/vNOHlbM1_normal.jpeg","U.S. Embassy -Madagascar",-77.052933,38.913322
"55","Official Twitter of the Embassy of the United States of America, Kuala Lumpur, Malaysia. RT ≠ endorse.",12167,9287,73,1451,"http://t.co/cgOrzbhw5u","U.S. Embassy KL",2010-06-24 05:39:40,FALSE,TRUE,"usembassykl","Kuala Lumpur","en","159002621",265,FALSE,"http://pbs.twimg.com/profile_images/2000137317/US_MY_Flag_normal.png","U.S. Embassy KL",101.7534534,3.1532326
"56","Official Twitter account of the U.S. Embassy in Bamako, Mali.",798,4925,2,86,"http://t.co/Q3jh0cJZdk","U.S. Embassy Bamako",2012-01-11 18:30:20,FALSE,TRUE,"USEmbassyMali","Bamako, Mali","en","461359076",150,FALSE,"http://pbs.twimg.com/profile_images/553460064514609153/p-6Foc-5_normal.jpeg","U.S. Embassy Bamako",-7.9661876,12.6595949
"57","Esta es la cuenta oficial de la Embajada de E.U. en México",14181,41801,1093,1292,"http://t.co/AFcfCWa5OU","Embajada EU en Mex",2009-06-30 21:35:06,FALSE,TRUE,"USEmbassyMEX","Mexico City","en","52528982",553,FALSE,"http://pbs.twimg.com/profile_images/638385047561613314/WG7O8sQG_normal.jpg","Mexico City",-99.133208,19.4326077
"58","This is the official Twitter account of the U.S. Embassy in Moldova
http://t.co/1TMessJr",2409,5954,50,48,"http://t.co/9b05YrVniP","U.S. Embassy Moldova",2010-04-08 10:57:15,FALSE,TRUE,"USembMoldova","Chisinau, Moldova","en","130804178",135,FALSE,"http://pbs.twimg.com/profile_images/806706438/sigla_normal.jpg","U.S. Embassy Moldova",-77.0466576,38.9142666
"59","The Embassy of the United States of America in Maputo, Mozambique",1305,5376,292,488,"http://t.co/0uz5dJqKtF","US Embassy Maputo",2009-02-11 14:45:44,FALSE,FALSE,"USEmbassyMaputo","Av. Kenneth Kaunda, 193","en","20593889",218,FALSE,"http://pbs.twimg.com/profile_images/83297619/jointflags_normal.jpg","US Embassy Maputo",32.6003187,-25.9596115
"60","Embassy of the United States in Nepal",5303,105875,494,651,"http://t.co/glZNjU8eAU","U.S. Embassy Nepal",2009-07-21 08:33:53,FALSE,TRUE,"USEmbassyNepal","Kathmandu, Nepal","en","58743813",442,FALSE,"http://pbs.twimg.com/profile_images/2671782841/3e9a1976341508018069a8ea4dc8909e_normal.png","U.S. Embassy Nepal",-77.047974,38.915618
"61","Embassy of the United States of America, The Hague, the Netherlands",2790,8320,71,330,"http://t.co/QOP5mxCou4","US Embassy The Hague",2009-08-10 13:33:50,FALSE,TRUE,"usembthehague","Lange Voorhout 102, The Hague","en","64403845",366,FALSE,"http://pbs.twimg.com/profile_images/609289665795895297/ut9nAuCz_normal.jpg","US Embassy The Hague",4.3149801,52.0825476
"62","The Official account of the U.S. Embassy in NZ & Consulate General in Auckland. We welcome your questions, comments, messages, & tweets! https://t.co/LEnY8bYMCe",12353,10221,2260,2993,"https://t.co/6ylPK4g5bw","US Embassy NZ",2009-04-27 00:48:24,FALSE,TRUE,"usembassynz","New Zealand. Terms:","en","35617996",422,FALSE,"http://pbs.twimg.com/profile_images/467097500122218496/53IYTVFC_normal.jpeg","US Embassy NZ",NA,NA
"63","Updates from the United States Diplomatic Mission Nigeria.  http://t.co/iFK8kRLO",4829,84185,46,107,"http://t.co/7xicb6sXbi","U.S. Mission Nigeria",2009-08-27 12:49:22,FALSE,TRUE,"USEmbassyAbuja","Abuja, Nigeria","en","69281027",445,FALSE,"http://pbs.twimg.com/profile_images/458905609723600898/fxqgX7pM_normal.jpeg","U.S. Embassy Abuja",7.4870832,9.1063599
"64","This is the official Twitter profile of the U.S. Embassy in Oslo, Norway. 
Don't hesitate to contact us with questions, suggestions or comments.",3701,9137,138,670,"http://t.co/cRRiyiTZ3u","U.S. Embassy Oslo",2009-05-13 14:48:04,FALSE,TRUE,"usembassyoslo","Oslo","en","39764029",341,FALSE,"http://pbs.twimg.com/profile_images/378800000697309633/49dd8907dddeb054c96c8187ae33b03e_normal.png","U.S. Embassy Oslo",10.6999289,59.9156413
"65","Welcome to the official Twitter account of the U.S. Embassy in Muscat! Like us on Facebook: https://t.co/G8heTjgF",2320,5386,479,442,"http://t.co/RDt35OH4Aa","U.S. Embassy Muscat",2011-07-03 06:39:35,FALSE,TRUE,"USEmbMuscat","Muscat, Oman","en","328359889",114,FALSE,"http://pbs.twimg.com/profile_images/378800000705934365/3dd49537e9e4c829943e72312834e74c_normal.jpeg","U.S. Embassy Muscat",58.536585,23.606673
"66","Embassy of the United States of America, Islamabad, Pakistan. Retweets and links are not an endorsement.",5607,59393,369,1050,"http://t.co/Vk7cSWMnPK","US Embassy Islamabad",2010-11-22 11:06:11,FALSE,TRUE,"usembislamabad","","en","218443914",419,FALSE,"http://pbs.twimg.com/profile_images/3606378612/e63f68bbc3bc2d7ae70e63d8fcbbd254_normal.jpeg","US Embassy Islamabad",73.117995,33.7239192
